restaurant_name,city,phone,instagram_handle,followers,posts,bio,website,status
"COOPERTOWN RESTAURANT","NEW YORK","+1 212-677-2126","","","","","","NOT_FOUND"
"ALI BABAS CAVE","SAN FRANCISCO","+1 415-863-4158","@alibabascave","1","0","","","EMPTY_PROFILE"
"BOBS GRILL AND GROCERY","SAN FRANCISCO","+1 415-826-4158","","","","","","NOT_FOUND"
"LUKE S LOBSTER","NEW YORK","+1 917-475-9191","@lukeslobster","123K","4316","Traceable + sustainable. Shipped direct from ME","linkin.bio/lukeslobster","FOUND"
"SMOOTHY PLACE","NEW YORK","+1 212-353-2123","","","","","","NOT_FOUND"
"PICCOLA STRADA","NEW YORK","+1 212-674-1557","","","","","","NOT_FOUND"
"JP STREET","NEW YORK","un","","","","","","NOT_FOUND"
"KRISPY KRUNCHY CHICKEN","SAN FRANCISCO","+1 415-683-6835","@krispykrunchychicken","43.8K","970","Southern-style fried chicken with over 3500 locations","sprout.link/krispykrunchychicken","FOUND"
"FREEHOLD","NEW YORK","un","@freeholdbrooklyn","6","0","","","EMPTY_PROFILE"
"IL CANTINORIE RESTAURAUNT","NEW YORK","+1 212-673-6044","","","","","","NOT_FOUND"
"LIBRARY OF DISTILLED SPIRITS","NEW YORK","+1 646-878-0396","@libraryofdistilledspirits","10.7K","386","Classic cocktail bar with encyclopedic spirits collection","sprout.link/libraryofdistilledspirits","FOUND"
"WESBURGER N MORE","SAN FRANCISCO","+1 415-745-9371","","","","","","NOT_FOUND"
"MEADOWS LIVINGSTONE SCHOOL","SAN FRANCISCO","+1 415-695-4156","","","","","","NOT_FOUND"
"ODDBALL FILMS","SAN FRANCISCO","un","@oddballfilms","1333","396","Rare archival stills and clips from 50000 reel film collection","oddballfilms.com","FOUND"
"CHO-KO RESTAURANT","NEW YORK","+1 212-388-2123","","","","","","NOT_FOUND"
"STUFFED ICE CREAM","NEW YORK","+1 917-261-4904","","","","","","WRONG_PROFILE"
"DAILY ANK APPLE","NEW YORK","+1 212-254-2122","","","","","","NOT_FOUND"
"ASTOR PLATE","NEW YORK","+1 212-475-9854","","","","","","NOT_FOUND"
"CRUNCH FITNESS","NEW YORK","+1 212-614-0120","","","","","","NOT_FOUND"
"Jacks sliders and sushi","Manhattan","un","","","","","","NOT_FOUND"
"REEF KITCHENS","SAN FRANCISCO","un","","","","","","NOT_FOUND"
"The Boil Waverly","NEW YORK","+1 646-833-7110","","","","","","NOT_FOUND"
"ZANTE PIZZA","SAN FRANCISCO","+1 415-821-4158","@zantepizza","7","0","","","WRONG_PROFILE"
"COFFEE KLATCH","SAN FRANCISCO","+1 877-455-8774","","","","","","NOT_FOUND"
"JEEPNEY","NEW YORK","+1 917-717-9177","@jeepneynyc","24.8K","115","Filipino restaurant. James Beard. Best Burger NYC","goldbelly.com/jeepney","FOUND"
"MISSION CULTURAL CENTER FOR LATINO ARTS","SAN FRANCISCO","+1 415-821-4158","","","","","","NOT_FOUND"
"GRUBSTAKE BURGERS AND BREAKFAST","SAN FRANCISCO","un","@grubstakesf","4539","866","SF oldest late-night dining spot Est. 1927","youtube.com","FOUND"
"BOBA GUYS MILK TEA & SNACK BAR","SAN FRANCISCO","+1 415-967-4159","@bobaguys","124K","4196","Bridging cultures since 2011. Next level boba & tea","linktr.ee/bobaguys","FOUND"
"CVS PHARMACY","NEW YORK","+1 646-602-8237","@cvspharmacy","302K","1509","Health/beauty. Healthier happens together","visitstore.bio/cvspharmacy","FOUND"
"Oakes Children s Center","SAN FRANCISCO","+1 415-641-8000","","","","","","NOT_FOUND"
