restaurant_name,city,instagram_handle,followers,posts,bio,website,status
"COOPERTOWN RESTAURANT","NEW YORK","","","","","","NOT_FOUND"
"ALI BABAS CAVE","SAN FRANCISCO","@alibabascave","1","0","","","EMPTY_PROFILE"
"BOBS GRILL AND GROCERY","SAN FRANCISCO","","","","","","NOT_FOUND"
"LUKE S LOBSTER","NEW YORK","@lukeslobster","123K","4316","Traceable + sustainable. Shipped direct from ME","linkin.bio/lukeslobster","FOUND"
"SMOOTHY PLACE","NEW YORK","","","","","","NOT_FOUND"
"PICCOLA STRADA","NEW YORK","","","","","","NOT_FOUND"
"JP STREET","NEW YORK","","","","","","NOT_FOUND"
"KRISPY KRUNCHY CHICKEN","SAN FRANCISCO","@krispykrunchychicken","43.8K","970","Southern-style fried chicken with over 3500 locations","sprout.link/krispykrunchychicken","FOUND"
"FREEHOLD","NEW YORK","@freeholdbrooklyn","6","0","","","EMPTY_PROFILE"
"IL CANTINORIE RESTAURAUNT","NEW YORK","","","","","","NOT_FOUND"
"LIBRARY OF DISTILLED SPIRITS","NEW YORK","@libraryofdistilledspirits","10.7K","386","Classic cocktail bar with encyclopedic spirits collection","sprout.link/libraryofdistilledspirits","FOUND"
"WESBURGER N MORE","SAN FRANCISCO","","","","","","NOT_FOUND"
"MEADOWS LIVINGSTONE SCHOOL","SAN FRANCISCO","","","","","","NOT_FOUND"
"ODDBALL FILMS","SAN FRANCISCO","@oddballfilms","1333","396","Rare archival stills and clips from 50000 reel film collection","oddballfilms.com","FOUND"
"CHO-KO RESTAURANT","NEW YORK","","","","","","NOT_FOUND"
"STUFFED ICE CREAM","NEW YORK","","","","","","WRONG_PROFILE"
"DAILY ANK APPLE","NEW YORK","","","","","","NOT_FOUND"
"ASTOR PLATE","NEW YORK","","","","","","NOT_FOUND"
"CRUNCH FITNESS","NEW YORK","","","","","","NOT_FOUND"
"Jacks sliders and sushi","Manhattan","","","","","","NOT_FOUND"
"REEF KITCHENS","SAN FRANCISCO","","","","","","NOT_FOUND"
"The Boil Waverly","NEW YORK","","","","","","NOT_FOUND"
"ZANTE PIZZA","SAN FRANCISCO","@zantepizza","7","0","","","WRONG_PROFILE"
"COFFEE KLATCH","SAN FRANCISCO","","","","","","NOT_FOUND"
"JEEPNEY","NEW YORK","@jeepneynyc","24.8K","115","Filipino restaurant. James Beard. Best Burger NYC","goldbelly.com/jeepney","FOUND"
"MISSION CULTURAL CENTER FOR LATINO ARTS","SAN FRANCISCO","","","","","","NOT_FOUND"
"GRUBSTAKE BURGERS AND BREAKFAST","SAN FRANCISCO","@grubstakesf","4539","866","SF oldest late-night dining spot Est. 1927","youtube.com","FOUND"
"BOBA GUYS MILK TEA & SNACK BAR","SAN FRANCISCO","@bobaguys","124K","4196","Bridging cultures since 2011. Next level boba & tea","linktr.ee/bobaguys","FOUND"
"CVS PHARMACY","NEW YORK","@cvspharmacy","302K","1509","Health/beauty. Healthier happens together","visitstore.bio/cvspharmacy","FOUND"
"Oakes Children s Center","SAN FRANCISCO","","","","","","NOT_FOUND"
